"year","city","country","avg_temp","global_year","global_avg_temp"
1750,"London","United Kingdom","10.25",1750,"8.72"
1751,"London","United Kingdom","9.99",1751,"7.98"
1752,"London","United Kingdom","6.54",1752,"5.78"
1753,"London","United Kingdom","9.42",1753,"8.39"
1754,"London","United Kingdom","9.2",1754,"8.47"
1755,"London","United Kingdom","8.95",1755,"8.36"
1756,"London","United Kingdom","9.42",1756,"8.85"
1757,"London","United Kingdom","9.34",1757,"9.02"
1758,"London","United Kingdom","8.85",1758,"6.74"
1759,"London","United Kingdom","9.8",1759,"7.99"
1760,"London","United Kingdom","9.26",1760,"7.19"
1761,"London","United Kingdom","9.69",1761,"8.77"
1762,"London","United Kingdom","8.99",1762,"8.61"
1763,"London","United Kingdom","8.75",1763,"7.5"
1764,"London","United Kingdom","9.14",1764,"8.4"
1765,"London","United Kingdom","8.95",1765,"8.25"
1766,"London","United Kingdom","9.07",1766,"8.41"
1767,"London","United Kingdom","8.98",1767,"8.22"
1768,"London","United Kingdom","9.12",1768,"6.78"
1769,"London","United Kingdom","9.04",1769,"7.69"
1770,"London","United Kingdom","9.03",1770,"7.69"
1771,"London","United Kingdom","8.78",1771,"7.85"
1772,"London","United Kingdom","9.36",1772,"8.19"
1773,"London","United Kingdom","9.33",1773,"8.22"
1774,"London","United Kingdom","9.1",1774,"8.77"
1775,"London","United Kingdom","10.1",1775,"9.18"
1776,"London","United Kingdom","9.21",1776,"8.3"
1777,"London","United Kingdom","9.25",1777,"8.26"
1778,"London","United Kingdom","9.8",1778,"8.54"
1779,"London","United Kingdom","10.76",1779,"8.98"
1780,"London","United Kingdom","9.67",1780,"9.43"
1781,"London","United Kingdom","10.41",1781,"8.1"
1782,"London","United Kingdom","8.44",1782,"7.9"
1783,"London","United Kingdom","9.97",1783,"7.68"
1784,"London","United Kingdom","8.29",1784,"7.86"
1785,"London","United Kingdom","8.54",1785,"7.36"
1786,"London","United Kingdom","8.35",1786,"8.26"
1787,"London","United Kingdom","9.53",1787,"8.03"
1788,"London","United Kingdom","9.39",1788,"8.45"
1789,"London","United Kingdom","9.12",1789,"8.33"
1790,"London","United Kingdom","9.67",1790,"7.98"
1791,"London","United Kingdom","9.59",1791,"8.23"
1792,"London","United Kingdom","9.56",1792,"8.09"
1793,"London","United Kingdom","9.59",1793,"8.23"
1794,"London","United Kingdom","10",1794,"8.53"
1795,"London","United Kingdom","9.19",1795,"8.35"
1796,"London","United Kingdom","9.5",1796,"8.27"
1797,"London","United Kingdom","9.62",1797,"8.51"
1798,"London","United Kingdom","9.83",1798,"8.67"
1799,"London","United Kingdom","7.94",1799,"8.51"
1800,"London","United Kingdom","9.32",1800,"8.48"
1801,"London","United Kingdom","9.68",1801,"8.59"
1802,"London","United Kingdom","9.31",1802,"8.58"
1803,"London","United Kingdom","8.79",1803,"8.5"
